site,wizard_line,cause,page,error_trigger,user_selected,column_guess,shot_before,shot_error,shot_after_FIXED,shot_after_PREFIX,prefix_verdict,fixed_verdict
s761_twofactor_samecol,761,B — page had no preserve step,A2C_TWOFACTOR,Factor 1 = Factor 2,"SPL_dB / style / style","SPL_dB / sex / style",s761_twofactor_samecol_before.png,s761_twofactor_samecol_error.png,s761_twofactor_samecol_after.png,s761_twofactor_samecol_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s785_twofactor_analysiserr,785,B — page had no preserve step,A2C_TWOFACTOR,"data column ""singer"" holds no numbers","singer / style / sex","SPL_dB / sex / style",s785_twofactor_analysiserr_before.png,s785_twofactor_analysiserr_error.png,s785_twofactor_analysiserr_after.png,s785_twofactor_analysiserr_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s870_paired_samecol,870,A — guard placed before the preserve loop,A3_NORM_PAGE,Column 1 = Column 2,jitter_pct / jitter_pct,jitter_pct / SPL_dB,s870_paired_samecol_before.png,s870_paired_samecol_error.png,s870_paired_samecol_after.png,s870_paired_samecol_PREFIX_after.png,DEFECT — Column 2 reverted to the guess,FIXED — returned the user's
s1287_regression_samecol,1287,B — page had no preserve step,B_REG_COLUMNS,Predictor = Response,SPL_dB / SPL_dB,jitter_pct / SPL_dB,s1287_regression_samecol_before.png,s1287_regression_samecol_error.png,s1287_regression_samecol_after.png,s1287_regression_samecol_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s1307_regression_analysiserr,1307,B — page had no preserve step,B_REG_COLUMNS,"predictor ""singer"" holds no numbers",singer / vibrato_rate_Hz,jitter_pct / SPL_dB,s1307_regression_analysiserr_before.png,s1307_regression_analysiserr_error.png,s1307_regression_analysiserr_after.png,s1307_regression_analysiserr_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s1375_correlation_samecol,1375,A — guard placed before the preserve loop,B_NORM_PAGE,Column 1 = Column 2,jitter_pct / jitter_pct,jitter_pct / SPL_dB,s1375_correlation_samecol_before.png,s1375_correlation_samecol_error.png,s1375_correlation_samecol_after.png,s1375_correlation_samecol_PREFIX_after.png,DEFECT — Column 2 reverted to the guess,FIXED — returned the user's
s1549_describe_analysiserr,1549,B — page had no preserve step,C_SINGLE,"data column ""singer"" holds no numbers",singer,jitter_pct,s1549_describe_analysiserr_before.png,s1549_describe_analysiserr_error.png,s1549_describe_analysiserr_after.png,s1549_describe_analysiserr_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s1725_predict_samecol,1725,B — page had no preserve step,D_PREDICT_COLUMNS,Predictor = Outcome,SPL_dB / SPL_dB,jitter_pct / SPL_dB,s1725_predict_samecol_before.png,s1725_predict_samecol_error.png,s1725_predict_samecol_after.png,s1725_predict_samecol_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
s1745_predict_analysiserr,1745,B — page had no preserve step,D_PREDICT_COLUMNS,"predictor ""singer"" holds no numbers",singer / vibrato_rate_Hz,jitter_pct / SPL_dB,s1745_predict_analysiserr_before.png,s1745_predict_analysiserr_error.png,s1745_predict_analysiserr_after.png,s1745_predict_analysiserr_PREFIX_after.png,DEFECT — returned the guess,FIXED — returned the user's
pressrun_regression,1307,B — the consequence: Run pressed untouched after the return,B_REG_COLUMNS,"predictor ""singer"" holds no numbers",singer / vibrato_rate_Hz,jitter_pct / SPL_dB,pressrun_regression_FIXED_before.png,pressrun_regression_FIXED_error.png,pressrun_regression_FIXED_runagain.png,pressrun_regression_PREFIX_runagain.png,DEFECT — ran and reported jitter_pct ~ SPL_dB,FIXED — refused again on the user's own columns
pressrun_twofactor,785,B — the consequence: Run pressed untouched after the return,A2C_TWOFACTOR,"data column ""singer"" holds no numbers","singer / style / sex","SPL_dB / sex / style",pressrun_twofactor_FIXED_before.png,pressrun_twofactor_FIXED_error.png,pressrun_twofactor_FIXED_runagain.png,pressrun_twofactor_PREFIX_runagain.png,DEFECT — ran and reported a two-way ANOVA on SPL_dB by sex x style,FIXED — refused again on the user's own columns
a2a_twogroups_regression,331,"not one of the nine — loop converted to the helper, driven for regression",A2A_NORM_PAGE,voice_type holds 3 groups,vibrato_rate_Hz / voice_type,SPL_dB / voice_type,a2a_twogroups_regression_before.png,a2a_twogroups_regression_error.png,a2a_twogroups_regression_after.png,,n/a — page was already correct,UNCHANGED — returned the user's
a2b_kgroups_regression,519,"not one of the nine — loop converted to the helper, driven for regression",A2B_NORM_PAGE,sex holds only 2 groups,singer / sex,SPL_dB / sex,a2b_kgroups_regression_before.png,a2b_kgroups_regression_error.png,a2b_kgroups_regression_after.png,,n/a — page was already correct,UNCHANGED — returned the user's
