cell_id	procedure	dataset	declared_expect	praat_refused	r_refused	praat_reason	r_reason	reason	study
c0033	emlRunTwoGroupAnalysis	v09_anova_tukey_input	refuse	yes	yes	Group column "voice_type" has 3 groups. This test compares exactly 2.	Group column 'voice_type' has 3 group(s) after excluding blanks; this test compares exactly 2.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0034	emlRunTwoGroupAnalysis	v73_directional_input	refuse	yes	yes	Group column "fam" has 5 groups. This test compares exactly 2.	Group column 'fam' has 5 group(s) after excluding blanks; this test compares exactly 2.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0359	emlRunTwoWayAnalysis	v11_twoway_input	refuse	yes	yes	Data column "subject" holds no numbers. 48 cell(s) are not numeric in any locale (row 1: Soprano_1). Unrecognized nonnumeric token; excluded.	data column 'subject' holds no numbers	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0375	emlRunPairedAnalysis	rp_r1_rmanova_input	refuse	yes	yes	No paired test could be run on these two columns. "soft" and "medium" give n = 4 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance).	No paired test could be run: n=4 complete pairs and every pair has the same difference (zero variance in the differences).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0381	emlRunPairedAnalysis	rp_r6_describe_input	refuse	yes	yes	No paired test could be run on these two columns. "SPL_soft" and "SPL_medium" give n = 4 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance). Assessed on 4 of 5 rows. N excluded 1 -- a row is used only when every column in the comparison has a value, which is what keeps the pairing intact. Treated as missing data.	No paired test could be run: n=4 complete pairs and every pair has the same difference (zero variance in the differences).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0384	emlRunPairedAnalysis	rp_r3_paired_input	refuse	yes	yes	No paired test could be run on these two columns. "SPL_soft" and "SPL_medium" give n = 6 complete pairs, and every one of those pairs has the same difference, so there is no variation in the differences for a paired test to work on. Paired t-test: All differences are identical (zero variance). Wilcoxon signed-rank: All differences are zero; cannot perform test.	No paired test could be run: n=6 complete pairs and every pair has the same difference (zero variance in the differences).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0418	emlRunCorrelationAnalysis	rp_r2_rmanova_input	refuse	yes	yes	Need at least 3 complete pairs for correlation.	Need at least 3 complete pairs for correlation (found 2).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0419	emlRunCorrelationAnalysis	rp_r3_paired_input	refuse	yes	yes	No correlation could be computed. Pearson: One or both variables have zero variance Spearman: One or both variables have zero variance	Zero variance in one column; correlation is undefined.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0492	emlRunNormalityAnalysis	rp_r2_rmanova_input	refuse	yes	yes	Need at least 3 non-missing values (found 2).	Need at least 3 non-missing values (found 2).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0493	emlRunNormalityAnalysis	rp_r2_rmanova_input	refuse	yes	yes	Need at least 3 non-missing values (found 2).	Need at least 3 non-missing values (found 2).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0494	emlRunNormalityAnalysis	rp_r2_rmanova_input	refuse	yes	yes	Need at least 3 non-missing values (found 2).	Need at least 3 non-missing values (found 2).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0513	emlRunRegressionAnalysis	rp_r2_rmanova_input	refuse	yes	yes	Need at least 3 rows for regression.	Need at least 3 non-missing paired observations (found 2).	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0528	emlRunRepeatedMeasuresAnalysis	rp_r1_rmanova_input	refuse	yes	yes	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0529	emlRunRepeatedMeasuresAnalysis	rp_r1_rmanova_input	refuse	yes	yes	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0530	emlRunRepeatedMeasuresAnalysis	rp_r1_rmanova_input	refuse	yes	yes	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0531	emlRunRepeatedMeasuresAnalysis	rp_r1_rmanova_input	refuse	yes	yes	The subject x condition residual is zero: every subject shows exactly the same pattern across conditions. The error term for the F test is therefore zero and F is undefined. Data that behaves this way is usually simulated, already averaged, or derived from one of its own columns.	Zero subject-by-condition residual variance on the 4 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
c0560	emlRunRepeatedMeasuresAnalysis	rp_r3_paired_input	refuse	yes	yes	Every value in every condition is identical, so there is no variance to partition.	Zero subject-by-condition residual variance on the 6 complete case(s) (error SS=0); the F-ratio is undefined or degenerate.	Where data cannot be analysed, both programs refuse the same analyses and each writes its refusal in its own words. That the same analyses refuse is checked separately.	options
