# srange_reference.tsv -- far-tail studentized-range reference grid.
# Built by build_srange_reference.py in this directory; read that file's
# header for the method, the convergence-escalation scheme, and why it is
# independent of both R's stats::ptukey and scipy.stats.studentized_range.
# Points that did not converge to the 1e-12 relative target within the
# escalation budget are named in srange_reference_OPEN_POINTS.txt and are
# NOT rows in this file.
#
# type: "forward" (q chosen, mpmath_p = P(Q>q)) or "quantile" (p_target
#   chosen, q solved by bisection against this file's own mpmath integral;
#   mpmath_p is the converged P(Q>q) at the solved q, which should equal
#   p_target to mpmath_agree_prev_tier's precision -- both are reported so
#   a reader can check the inversion's own consistency directly).
# tier: which coverage tier this cell came from (A=broad, B=far-tail-focus,
#   Q=quantile grid) -- see build_srange_reference.py's build_*_grid.
# k, df: distribution parameters. p_target: the p this cell targets (forward:
#   what q was chosen to hit; quantile: what q was solved for). q: the
#   studentized-range statistic evaluated at (forward) or solved for
#   (quantile).
# mpmath_p: this file's own converged reference value of P(Q>q).
# mpmath_dps: working decimal precision used for the accepted evaluation.
# mpmath_quad_tier: which escalation tier (1-4, TIERS in the builder) the
#   accepted value came from.
# mpmath_agree_prev_tier: relative agreement between the accepted tier and
#   the one before it -- THE CONVERGENCE EVIDENCE. <=1e-12 when
#   mpmath_converged is True; may be looser (never above 1e-6 -- points
#   that bad are OPEN POINTs, excluded) when tier escalation hit its cap
#   before reaching 1e-12; reported honestly either way.
# mpmath_converged: True iff mpmath_agree_prev_tier <= 1e-12.
# scipy_p: scipy.stats.studentized_range.sf(q,k,df) (or isf-derived q for
#   quantile rows), for reference -- NOT the acceptance oracle here.
# mc_p, mc_se, mc_n: Monte Carlo estimate of P(Q>q) by direct simulation
#   (independent normals for the range, an independent chi(df) draw for the
#   scale, empirical exceedance count) with its standard error and draw
#   count. NaN/0 when p is below ~1e-6 (not enough draws are affordable for
#   a meaningful SE there -- reported as missing, not as a padded number).
# r_ptukey_p: R's stats::ptukey(q,k,df,lower.tail=FALSE) at this exact q,
#   always computed.
# r_in_verified_domain: whether THIS EXACT (k,df,q) point passes the
#   standard rule against scipy, live -- the operational domain test from
#   R_verified_domain.tsv's header (not a table lookup; see that file for
#   why). True means R may be used as oracle here per the governing ruling;
#   False means acceptance for this cell is against mpmath_p only.
# wall_sec: wall-clock time this file's own mpmath computation took for
#   the accepted tier (does not include scipy/MC/R side computations).
#
type	tier	k	df	p_target	q	mpmath_p	mpmath_dps	mpmath_quad_tier	mpmath_agree_prev_tier	mpmath_converged	scipy_p	mc_p	mc_se	mc_n	r_ptukey_p	r_in_verified_domain	wall_sec
forward	A	2	3	0.1	3.32815848668967	0.09999999999999215	28	3	4.0658714714850964e-14	True	0.09999999999999987	0.0999075	0.00022350335567950652	2000000	0.10000000000014564	True	10.605
forward	A	2	3	0.0001	39.5981636096537	9.999999999890576e-05	28	4	6.602590699067488e-11	False	9.999999999998899e-05	9.9e-05	4.9749371855331e-06	4000000	3.659536616196224e-05	False	43.998
forward	A	2	10	0.1	2.563207101154224	0.09999999999999389	28	3	1.6067843083516664e-14	True	0.10000000000000009	0.099911	0.00022350727057525444	2000000	0.09999999996789788	True	11.036
forward	A	2	10	0.0001	8.783752407031471	0.00010000000000056608	28	4	6.602738008523872e-11	False	9.999999999998899e-05	9.45000236250059e-05	4.86055673894508e-06	3999999	9.9999858768407e-05	False	24.724
forward	A	2	45	0.1	2.375068995709838	0.09999999999999316	28	3	2.0935360082365312e-13	True	0.09999999999999998	0.0998185	0.00022340378242097873	2000000	0.09999999999942843	True	10.507
forward	A	2	45	0.0001	6.0372143280063995	9.999999999967804e-05	28	4	6.60272568757509e-11	False	0.00010000000000010001	0.0001015	5.037360419902471e-06	4000000	0.00010000000037180268	True	24.296
forward	A	2	200	0.1	2.3369993682404435	0.09999999999986693	28	3	2.74361391985883e-13	True	0.10000000000000009	0.0997895	0.00022337132761390843	2000000	0.09999999999992837	True	10.309
forward	A	2	200	0.0001	5.615130497263877	9.999999985869767e-05	28	4	6.601699362143285e-11	False	9.999999999998899e-05	0.0001	5e-06	4000000	9.999999992327258e-05	True	23.956
forward	A	3	3	0.1	4.467363530649987	0.09999999999999905	28	4	3.7001741157623246e-14	True	0.09999999999999998	0.100021	0.00022363027523123965	2000000	0.10000079866454847	False	25.095
forward	A	3	3	0.0001	50.427137596952804	9.999999999906737e-05	28	4	3.4788373989390454e-11	False	9.999999999998899e-05	9.975e-05	4.993746088859545e-06	4000000	4.1415580160908405e-06	False	43.803
forward	A	3	10	0.1	3.270308407950077	0.0999999999999997	28	4	3.832067247418718e-14	True	0.09999999999999987	0.0999925	0.00022359841233783392	2000000	0.10000000000034237	True	23.995
forward	A	3	10	0.0001	9.898297920017988	9.99999999998757e-05	28	4	3.4788363452288687e-11	False	9.999999999998899e-05	9.375e-05	4.841229182759271e-06	4000000	9.999999461207665e-05	False	24.149
forward	A	3	45	0.1	2.9781300786352918	0.09999999999999577	28	4	3.5358960295230706e-14	True	0.09999999999999998	0.099973	0.00022357660879439065	2000000	0.09999999999932196	True	24.731
