quantity_name	value	unit	derived_from	as_of	status	note
n_public_procedures	43	procedures	plugin_EML_StatsGraphs/REGISTRY.tsv: data rows after the '#' header block (rule: read.delim over the lines that are neither blank nor start with '#'; first surviving row is the 'name/file/signature/description/sources' header, not counted). READ-ONLY per this job's hard rules -- no edit proposed here, none needed.	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_numerically_validated_procedures	17	procedures	walkthrough/kit/matrix.tsv: count of distinct values in the procedure column, read.delim(sep='\t', comment.char='#') -- the exact parse compare.R uses to build 'mx' before it prints 'cells declared in matrix.tsv'.	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	This is the subset of the public surface the kit numerically validates -- walkthrough/kit/README.md and tracker section C are explicit that this number must never be presented as if it covered the drawing or utility rows too.
n_validation_cells	669	cells	walkthrough/kit/matrix.tsv: data row count, same parse as above.	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_validation_cells_nist	11	cells	walkthrough/kit/matrix.tsv: rows where study == "nist".	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_validation_cells_options	626	cells	walkthrough/kit/matrix.tsv: rows where study == "options".	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_validation_cells_sweep	32	cells	walkthrough/kit/matrix.tsv: rows where study == "sweep".	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_contract_clauses	234	clauses	walkthrough/kit/quantities.tsv: data rows after stripping lines starting with '#' by hand (comment.char is not used here -- Praat matrix names in the source column end '##', and comment.char would truncate those rows mid-line; same reasoning and same code shape as compare.R's own quantities.tsv read).	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_validators_total	152	scripts	validate/v*.R: file count in the repository's separate validate/ suite (152 files matched). validate/README.md's own prose calls each such script a 'validator' ("seven validators -- v59, v63, v64, v65, v70, v71, v77 -- resolve a Praat binary...").	grand_ledger run at 2026-09-02 12:17:01 +0000, repo commit 7ae8c3dd6b2a (DIRTY)	MEASURED	
n_comparisons	NA	quantity comparisons	audit/VERDICT.txt (compare.R's output) -- would be parsed from its printed summary lines ("value comparisons made : %d").	PENDING -- authoritative run not yet executed (tracker item A.8: run NOT RUN)	AWAITING_RUN	AWAITING_RUN: audit/praat_results.tsv (mtime 2026-08-31 11:23:44 +0000) is OLDER than matrix.tsv (mtime 2026-09-01 16:29:52 +0000) -- this runner has not been re-driven since the declaration changed | matrix.tsv (mtime 2026-09-01 16:29:52 +0000) is NEWER than audit/VERDICT.txt (mtime 2026-08-31 13:54:36 +0000) -- compare.R has not been re-run since | audit/r_results.tsv (mtime 2026-09-01 22:57:29 +0000) is NEWER than audit/VERDICT.txt (mtime 2026-08-31 13:54:36 +0000) -- compare.R has not been re-run since
n_comparisons_agree	NA	quantity comparisons	audit/VERDICT.txt (compare.R's output) -- would be parsed from its printed summary lines (the AGREE bucket line: relative difference < 1e-9, or absolute < 1e-12 near zero).	PENDING -- authoritative run not yet executed (tracker item A.8: run NOT RUN)	AWAITING_RUN	AWAITING_RUN: audit/praat_results.tsv (mtime 2026-08-31 11:23:44 +0000) is OLDER than matrix.tsv (mtime 2026-09-01 16:29:52 +0000) -- this runner has not been re-driven since the declaration changed | matrix.tsv (mtime 2026-09-01 16:29:52 +0000) is NEWER than audit/VERDICT.txt (mtime 2026-08-31 13:54:36 +0000) -- compare.R has not been re-run since | audit/r_results.tsv (mtime 2026-09-01 22:57:29 +0000) is NEWER than audit/VERDICT.txt (mtime 2026-08-31 13:54:36 +0000) -- compare.R has not been re-run since
