producer	producer_file_line	callsite_file_line	verdict	evidence
emlCountGroups	eml-extract.praat:1702	eml-analysis.praat:79	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireColumnPresent	eml-inferential.praat:2968	eml-analysis.praat:120	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireColumnPresent.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
emlRequireNumericColumn	eml-inferential.praat:3042	eml-analysis.praat:130	RAISED	propagates to the caller's own .error$ (`.error$ = emlRequireNumericColumn.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:139	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
eml_getGroupData	eml-extract.praat:1909	eml-analysis.praat:142	NOT-APPLICABLE	"Data column presence+type is validated via @emlRequireColumnPresent/@emlRequireNumericColumn earlier in the same procedure, and this call sits inside `if .error$ = """" ... endif`; eml_getGroupData's only failure path (emlExtractColumn's ""Column not found"") is therefore already excluded. Documented at eml-analysis.praat:113-118: ""@eml_getGroupData answers a missing column with an empty vector rather than an error, so this orchestrator is the lowest layer ... that ever sees the Table."""
emlTTest	eml-inferential.praat:120	eml-analysis.praat:185	SWALLOWED-DISCLOSED	"`.ttErr$ = emlTTest.error$`, later: `if .ttErr$ <> """" then appendInfoLine: ""  Parametric results omitted — t-test failed: "" + .ttErr$`."
emlCohenD	eml-inferential.praat:496	eml-analysis.praat:187	SWALLOWED-DISCLOSED	"`.dErr$ = emlCohenD.error$`, later: `appendInfoLine: ""  Parametric results omitted — Cohen's d failed: "" + .dErr$`."
emlMannWhitneyU	eml-inferential.praat:1092	eml-analysis.praat:198	SWALLOWED-DISCLOSED	"`.mwErr$ = emlMannWhitneyU.error$`, later: `appendInfoLine: ""  Nonparametric results omitted — Mann-Whitney U failed: "" + .mwErr$`."
emlRankBiserialR	eml-inferential.praat:1703	eml-analysis.praat:208	SWALLOWED-DISCLOSED	"`.rbErr$ = emlRankBiserialR.error$`, later: `appendInfoLine: ""  Nonparametric results omitted — rank-biserial r failed: "" + .rbErr$`."
emlCountGroups	eml-extract.praat:1702	eml-analysis.praat:328	RAISED	propagates to the caller's own .error$ (`.error$ = emlCountGroups.error$`) and either `goto END_*` to an exit label that leaves .error$ set for this procedure's own caller, or is otherwise routed to @emlErrorDialog/exitScript upstream — verified pattern, not individually quoted here for space.
