# ==========================================================================
# REGISTRY — EML Stats & Graphs public procedure surface
# Compiled: 2026-09-01  |  42 rows (2026-09-02: emlRunLMMAnalysis's row
# removed for 1.0 -- see the correction below)
# Ruling: mailbox/to-opus/RULING_PUBLIC_SURFACE_2026-09-01.md
# Correction (2026-09-01, Fable): emlRunReliabilityAnalysis's row removed --
# "Table S2 documents working public surface; an unconditional-error stub is
# not surface." It matches the emlRun* name pattern, so removing it moved it
# onto validate/v155_public_registry.R's erosion-check exclusion list rather
# than off the boundary silently -- see that file's RUN_EXCLUSIONS.
# Correction (2026-09-02, Ian, RULING_REGISTRY_VERDICTS_2026-09-01.md section
# 1): emlRunLMMAnalysis's row removed for the same mechanism -- implemented
# and validated, but its menu entry and the wizard's mixed-model page are
# both withdrawn, so it is public by the emlRun* name pattern alone. Public
# again post-1.0 when a door reaches it. Moved onto the same
# RUN_EXCLUSIONS list, its own entry.
#
# A procedure is public if and only if it has a row in this file. Membership
# is by INTENT, not reachability — Praat's `include` makes all procedures
# matching eml[A-Z]... reachable from any script that includes the tree, and
# reachability is therefore not the test. This file is the curated decision.
#
# Columns: name | file | signature | description | sources
#
#   name         The procedure's real name, as spelled in `procedure name:`.
#   file         Defining file, plugin-relative (plugin_EML_StatsGraphs/...).
#   signature    The REAL signature, read from the procedure definition
#                itself — never inferred from a call site. Verify against
#                the file before trusting an old copy of this row.
#   description  One-line, curated.
#   sources      Which of the ruling's three seed sources admitted this row,
#                by number, any combination, comma-separated:
#                  1 = one of the 15 emlRun* entry points (name-pattern test)
#                  2 = a user-facing drawing/graph entry point (menu or
#                      wizard door presents it as an operation)
#                  3 = the recorder (stats/eml-record.praat) emits a literal
#                      call to this procedure into a generated user script
#                A row can carry more than one source; this is the audit
#                trail for why the boundary sits where it does, not a
#                ranking. See the compiling agent's report for the full
#                trace, including one row originally admitted by source 1
#                alone whose wiring toward source 2/3 exists on the page but
#                cannot fire (emlRunLMMAnalysis's menu entry and wizard page
#                are withdrawn). The 2026-09-01 compilation kept it in on
#                the ruling's name-pattern test for source 1, which is
#                explicitly NOT a reachability test; Ian's 2026-09-02 ruling
#                (RULING_REGISTRY_VERDICTS_2026-09-01.md section 1) took it
#                back out for 1.0 regardless, the same correction applied to
#                emlRunReliabilityAnalysis below, and for the same reason:
#                public by name pattern with no door reaching it is not
#                Table S2's documented working surface. Both are named on
#                the erosion check's exclusion list so removing them here
#                does not read as erosion of the emlRun* boundary.
#                emlRunReliabilityAnalysis, the other source-1-alone case, is
#                NOT kept in: it is an unimplemented stub (v1.2 item 7) with
#                no real call site anywhere, so it never reaches Table S2 as
#                documented public surface that cannot succeed (Fable's
#                correction above). It is instead named on the erosion
#                check's exclusion list so removing it here does not read as
#                erosion of the emlRun* boundary.
#
# THIS FILE IS HAND-COMPILED, NOT YET GENERATED. The ruling's mechanism item
# 3 (docs, the barrel and Table S2 generated FROM this file, with a text
# check that they match) is not built; validate/v155_public_registry.R's
# "generation check" reports that honestly rather than passing vacuously.
# Regenerating this file's derived columns (file, signature) mechanically
# from source is future work — see dev/tools/reg-extract-procedures.py for
# the existing procedure-census instrument this could be built on, though
# procs.json there is presently stale relative to the live tree and must
# not be trusted without a fresh run.
#
# Kernels stay INTERNAL even where a sophisticated user could legitimately
# call them (emlCholeskySolveMulti and kin; the survey kernels emlCronbachAlpha,
# emlAlphaInfluence, emlChiSquareIndependence, emlWilsonInterval; the graph
# dialog orchestrators emlGraphsWorkflow / emlGraphsDispatchDraw). A kernel
# enters this file only by a deliberate future decision, never by default.
# ==========================================================================

name	file	signature	description	sources
emlRunTwoGroupAnalysis	stats/eml-analysis.praat	procedure emlRunTwoGroupAnalysis: .tableId, .dataCol$, .groupCol$, .testType$, .equalVar	Two-group comparison — Student/Welch t-test or Mann-Whitney U, with Cohen's d or rank-biserial r.	1,3
emlRunAnovaAnalysis	stats/eml-analysis.praat	procedure emlRunAnovaAnalysis: .tableId, .dataCol$, .groupCol$, .doTukey	One-way ANOVA with an optional Tukey HSD post-hoc; recorded through the bespoke @emlRecordAnova.	1,3
emlRunKruskalWallisAnalysis	stats/eml-analysis.praat	procedure emlRunKruskalWallisAnalysis: .tableId, .dataCol$, .groupCol$, .doDunn, .adjMethod$	Kruskal-Wallis H test with an optional Dunn's post-hoc and a chosen p-adjustment method.	1,3
emlRunPairwiseAnalysis	stats/eml-analysis.praat	procedure emlRunPairwiseAnalysis: .tableId, .dataCol$, .groupCol$, .test$, .adjMethod$	All-pairs comparisons across 3+ groups by t-test or Mann-Whitney, with a p-adjustment method.	1,3
emlRunTwoWayAnalysis	stats/eml-analysis.praat	procedure emlRunTwoWayAnalysis: .tableId, .dataCol$, .factor1$, .factor2$	Two-way ANOVA (Type III sums of squares) for one numeric column crossed by two factors.	1,3
emlRunPairedAnalysis	stats/eml-analysis.praat	procedure emlRunPairedAnalysis: .tableId, .col1$, .col2$, .testType$	Paired comparison of two columns — paired t-test or Wilcoxon signed-rank.	1,3
emlRunCorrelationAnalysis	stats/eml-analysis.praat	procedure emlRunCorrelationAnalysis: .tableId, .colX$, .colY$, .testType$	Correlation between two numeric columns — Pearson r or Spearman rho — with its significance test.	1,3
emlRunDescriptiveAnalysis	stats/eml-analysis.praat	procedure emlRunDescriptiveAnalysis: .tableId, .dataCol$	Descriptive statistics (mean, SD, quartiles and more) for one numeric column.	1,3
emlRunRegressionAnalysis	stats/eml-analysis.praat	procedure emlRunRegressionAnalysis: .tableId, .depCol$, .predCol$	OLS simple linear regression of one dependent column on one predictor.	1,3
emlRunGroupedRegressionAnalysis	stats/eml-analysis.praat	procedure emlRunGroupedRegressionAnalysis: .tableId, .predCol$, .respCol$, .groupCol$	Per-group OLS regression fits reported beside the overall fit, one line per group. No recorder hook exists for this call — see report.	1
emlRunNormalityAnalysis	stats/eml-analysis.praat	procedure emlRunNormalityAnalysis: .tableId, .dataCol$, .testType$	Normality test for one numeric column — Shapiro-Wilk and/or skewness/kurtosis — with a plain-language recommendation.	1,3
emlRunRepeatedMeasuresAnalysis	stats/eml-analysis.praat	procedure emlRunRepeatedMeasuresAnalysis: .tableId, .subjectCol$, .conditionCols$, .doPostHoc, .adjMethod$	Parametric repeated-measures ANOVA (wide format) with Greenhouse-Geisser correction and an optional post-hoc. .subjectCol$ is reserved and currently unread.	1,3
emlRunFriedmanAnalysis	stats/eml-analysis.praat	procedure emlRunFriedmanAnalysis: .tableId, .subjectCol$, .conditionCols$, .doPostHoc, .adjMethod$	Friedman test — nonparametric repeated measures, wide format — with an optional post-hoc.	1,3
emlDrawF0Contour	graphs/eml-draw-procedures.praat	procedure emlDrawF0Contour: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .tMin, .tMax, .fMin, .fMax, .yUnit	F0 contour figure (EML Graphs type 1) for a Pitch object.	2,3
emlDrawWaveform	graphs/eml-draw-procedures.praat	procedure emlDrawWaveform: .objectId, .title$, .xLabel$, .yLabel$, .vpW, .vpH, .colorMode$, .gridMode, .tMin, .tMax, .aMin, .aMax	Waveform figure (EML Graphs type 2) for a Sound object.	2,3
