key,template
anova.intent,"{1} of {2} by {3}, {4} groups."
posthoc.intent,"{1} requested. Alpha {2} ({3})."
read.intent,"Loaded {1} as supplied. Nothing below modifies it."
refusal.intent,"Refused: {1}"
alpha.source.default,"default, not specified by the user"
draw.intent,"{1} of {2}, grouped by {3}, {4} groups."
analysis.intent,"{1}: {2}"
drawstep.intent,"{1}: {2}"
create.intent,"Built {1} with the plugin's demo generator: {2}."
create.seeded,"Seeded with {1}, so this rebuilds the recorded table and not a differently-random one."
edit.set,"Changed {1} in row {2} from {3} to {4}"
edit.replaceall,"Replaced {1} with {2} in {3} cell(s), {4}"
edit.rowadd,"Added a row at the end. The table now has {1} rows"
edit.rowinsert,"Inserted a row at position {1}"
edit.rowdelete,"Deleted row {1}"
edit.coladd,"Added column {1} at the end"
edit.colinsert,"Inserted column {1} at position {2}"
edit.coldelete,"Deleted column {1}, which was column {2} of {3}"
edit.colrename,"Renamed column {1} to {2}"
edit.colautoname,"Named column {1}, which had no name, {2}"
