producer	producer_file_line	callsite_file_line	verdict	evidence
emlSkewness	stats/eml-core-descriptive.praat:294	scripts/eml-check-normality.praat:183	UNCHECKED	".error$" never read; only .result used (lines 183-184: "@emlSkewness: .data#" / ".skew = emlSkewness.result")
emlSkewness	stats/eml-core-descriptive.praat:294	scripts/eml-wizard.praat:2364	UNCHECKED	".error$" never read; only .result used (lines 2364,2366: "@emlSkewness: .data#" / ".sk = emlSkewness.result")
emlKurtosis	stats/eml-core-descriptive.praat:328	scripts/eml-check-normality.praat:185	UNCHECKED	".error$" never read; only .result used (lines 185,186: "@emlKurtosis: .data#" / ".kurt = emlKurtosis.result")
emlKurtosis	stats/eml-core-descriptive.praat:328	scripts/eml-wizard.praat:2365	UNCHECKED	".error$" never read; only .result used (lines 2365,2367: "@emlKurtosis: .data#" / ".ku = emlKurtosis.result")
emlShapiroWilk	stats/eml-core-descriptive.praat:722	scripts/eml-check-normality.praat:179	SWALLOWED-SILENT	"checked" only indirectly via forwarding .error$ into @emlNormalityRecommendation (line 221), but .w/.p stay `undefined` on failure (producer lines 723-724) and are printed unconditionally: "260 @eml_fixed: .swW, 4" / "268 appendInfoLine: \"    W = \", .wTxt$," -- the error text itself ("All values identical (zero range)" etc.) is never printed anywhere in this branch.
emlShapiroWilk	stats/eml-core-descriptive.praat:722	scripts/eml-wizard.praat:2412	SWALLOWED-DISCLOSED	"2413 if emlShapiroWilk.error$ = \"\"" ... "2419 else" / "2420 appendInfoLine: \"    Shapiro-Wilk: \", emlShapiroWilk.error$" -- disclosed inline, not raised as a dialog/exitScript.
emlTTest	stats/eml-inferential.praat:120	scripts/eml-stats-demo.praat:88	UNCHECKED	".error$" never read; ".t/.df/.p" used directly (lines 88-91): "@emlTTest: groupA#, groupB#, 2, 0" / "tValue = emlTTest.t"
emlCohenD	stats/eml-inferential.praat:496	scripts/eml-stats-demo.praat:93	UNCHECKED	".error$" never read; ".d/.g" used directly (lines 93-95): "@emlCohenD: groupA#, groupB#" / "dValue = emlCohenD.d"
emlPearsonCorrelation	stats/eml-inferential.praat:701	scripts/eml-correlate.praat:384	SWALLOWED-DISCLOSED	"389 pgPearErr$ = emlPearsonCorrelation.error$" then gated at "413 if pgPearErr$ = \"\"" before adding a tidy row; the error text itself is disclosed by the report helper called at line 402 (graphs/eml-annotation-procedures.praat:4872-4873): "else" / "appendInfoLine: newline$ + \"Pearson error: \" + emlPearsonCorrelation.error$"
emlPearsonCorrelation	stats/eml-inferential.praat:701	scripts/eml-stats-demo.praat:112	UNCHECKED	".error$" never read; ".r" used directly (lines 112-113): "@emlPearsonCorrelation: speakingF0#, singingF0#, 2" / "rValue = emlPearsonCorrelation.r"
emlSpearmanCorrelation	stats/eml-inferential.praat:827	scripts/eml-correlate.praat:392	SWALLOWED-DISCLOSED	"397 pgSpearErr$ = emlSpearmanCorrelation.error$" gated at "425 if pgSpearErr$ = \"\""; error text disclosed by the same report helper (graphs/eml-annotation-procedures.praat, mirrors the Pearson "else / appendInfoLine ... error$" branch for Spearman).
emlWilcoxonSignedRank	stats/eml-inferential.praat:1457	scripts/eml-stats-demo.praat:116	UNCHECKED	".error$" never read; ".tPlus/.tMinus/.p" used directly (lines 116-120): "@emlWilcoxonSignedRank: preJitter#, postJitter#, 2" / "tPlus = emlWilcoxonSignedRank.tPlus"
